Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Oral Cavity and Pharynx,2007,West,Asian or Pacific Islander,0.29,2.126,7.33
Oral Cavity and Pharynx,2007,West,Black or African American,0.356,2.974,8.365
Oral Cavity and Pharynx,2007,West,White,0.224,2.4,10.709
Oral Cavity and Pharynx,2008,Northeast,Asian or Pacific Islander,0.198,1.801,9.093
Oral Cavity and Pharynx,2008,Northeast,Black or African American,0.31,2.649,8.552
Oral Cavity and Pharynx,2008,Northeast,White,0.202,2.217,10.991
Oral Cavity and Pharynx,2008,Midwest,Asian or Pacific Islander,0.345,2.463,7.143
Oral Cavity and Pharynx,2008,Midwest,Black or African American,0.281,3.047,10.823
Oral Cavity and Pharynx,2008,Midwest,White,0.204,2.312,11.362
Oral Cavity and Pharynx,2008,South,American Indian or Alaska Native,0.385,2.751,7.142
Oral Cavity and Pharynx,2008,South,Asian or Pacific Islander,0.216,1.256,5.814
Oral Cavity and Pharynx,2008,South,Black or African American,0.316,3.168,10.015
Oral Cavity and Pharynx,2008,South,White,0.199,2.518,12.671
Oral Cavity and Pharynx,2008,West,American Indian or Alaska Native,0.227,1.517,6.691
Oral Cavity and Pharynx,2008,West,Asian or Pacific Islander,0.272,2.189,8.062
Oral Cavity and Pharynx,2008,West,Black or African American,0.285,2.454,8.614
Oral Cavity and Pharynx,2008,West,White,0.227,2.472,10.87
Oral Cavity and Pharynx,2009,Northeast,Asian or Pacific Islander,0.214,1.751,8.2
Oral Cavity and Pharynx,2009,Northeast,Black or African American,0.273,2.422,8.861
Oral Cavity and Pharynx,2009,Northeast,White,0.189,2.123,11.25
Oral Cavity and Pharynx,2009,Midwest,Black or African American,0.28,2.819,10.076
Oral Cavity and Pharynx,2009,Midwest,White,0.203,2.275,11.224
Oral Cavity and Pharynx,2009,South,American Indian or Alaska Native,0.244,1.697,6.964
Oral Cavity and Pharynx,2009,South,Asian or Pacific Islander,0.214,1.304,6.093
Oral Cavity and Pharynx,2009,South,Black or African American,0.31,3.031,9.779
Oral Cavity and Pharynx,2009,South,White,0.198,2.501,12.631
Oral Cavity and Pharynx,2009,West,Asian or Pacific Islander,0.319,2.328,7.297
Oral Cavity and Pharynx,2009,West,Black or African American,0.238,2.092,8.777
Oral Cavity and Pharynx,2009,West,White,0.215,2.331,10.842
Oral Cavity and Pharynx,2010,Northeast,Asian or Pacific Islander,0.304,2.504,8.233
Oral Cavity and Pharynx,2010,Northeast,Black or African American,0.266,2.349,8.841
Oral Cavity and Pharynx,2010,Northeast,White,0.205,2.3,11.237
Oral Cavity and Pharynx,2010,Midwest,Asian or Pacific Islander,0.174,1.537,8.86
Oral Cavity and Pharynx,2010,Midwest,Black or African American,0.255,2.694,10.578
Oral Cavity and Pharynx,2010,Midwest,White,0.198,2.272,11.474
Oral Cavity and Pharynx,2010,South,Asian or Pacific Islander,0.194,1.359,7.016
Oral Cavity and Pharynx,2010,South,Black or African American,0.315,3.043,9.672
Oral Cavity and Pharynx,2010,South,White,0.216,2.696,12.503
Oral Cavity and Pharynx,2010,West,American Indian or Alaska Native,0.289,2.095,7.238
Oral Cavity and Pharynx,2010,West,Asian or Pacific Islander,0.256,2.03,7.946
Oral Cavity and Pharynx,2010,West,Black or African American,0.286,2.371,8.284
Oral Cavity and Pharynx,2010,West,White,0.223,2.393,10.706
Oral Cavity and Pharynx,2011,Northeast,Asian or Pacific Islander,0.181,1.802,9.959
Oral Cavity and Pharynx,2011,Northeast,Black or African American,0.279,2.403,8.603
Oral Cavity and Pharynx,2011,Northeast,White,0.184,2.089,11.336
Oral Cavity and Pharynx,2011,Midwest,Asian or Pacific Islander,0.241,2.157,8.958
Oral Cavity and Pharynx,2011,Midwest,Black or African American,0.287,3.047,10.618
Oral Cavity and Pharynx,2011,Midwest,White,0.194,2.339,12.062
Oral Cavity and Pharynx,2011,South,American Indian or Alaska Native,0.319,2.571,8.07
Oral Cavity and Pharynx,2011,South,Asian or Pacific Islander,0.226,1.777,7.866
Oral Cavity and Pharynx,2011,South,Black or African American,0.355,3.335,9.391
Oral Cavity and Pharynx,2011,South,White,0.208,2.652,12.773
Oral Cavity and Pharynx,2011,West,American Indian or Alaska Native,0.222,1.716,7.714
Oral Cavity and Pharynx,2011,West,Asian or Pacific Islander,0.28,2.003,7.142
Oral Cavity and Pharynx,2011,West,Black or African American,0.334,2.789,8.342
Oral Cavity and Pharynx,2011,West,White,0.221,2.44,11.026
Oral Cavity and Pharynx,2012,Northeast,Asian or Pacific Islander,0.201,1.916,9.544
Oral Cavity and Pharynx,2012,Northeast,Black or African American,0.271,2.372,8.745
Oral Cavity and Pharynx,2012,Northeast,White,0.189,2.175,11.527
Oral Cavity and Pharynx,2012,Midwest,Asian or Pacific Islander,0.342,2.302,6.733
Oral Cavity and Pharynx,2012,Midwest,Black or African American,0.259,2.617,10.121
Oral Cavity and Pharynx,2012,Midwest,White,0.212,2.488,11.722
Oral Cavity and Pharynx,2012,South,Asian or Pacific Islander,0.154,1.076,6.999
Oral Cavity and Pharynx,2012,South,Black or African American,0.342,3.224,9.425
Oral Cavity and Pharynx,2012,South,White,0.207,2.639,12.768
Oral Cavity and Pharynx,2012,West,American Indian or Alaska Native,0.213,1.538,7.23
Oral Cavity and Pharynx,2012,West,Asian or Pacific Islander,0.281,2.182,7.756
Oral Cavity and Pharynx,2012,West,Black or African American,0.29,2.285,7.879
Oral Cavity and Pharynx,2012,West,White,0.223,2.409,10.806
Oral Cavity and Pharynx,2013,Northeast,Asian or Pacific Islander,0.187,1.823,9.729
Oral Cavity and Pharynx,2013,Northeast,Black or African American,0.304,2.522,8.305
Oral Cavity and Pharynx,2013,Northeast,White,0.178,2.061,11.6
Oral Cavity and Pharynx,2013,Midwest,Asian or Pacific Islander,0.281,1.995,7.104
Oral Cavity and Pharynx,2013,Midwest,Black or African American,0.258,2.716,10.509
Oral Cavity and Pharynx,2013,Midwest,White,0.187,2.252,12.025
Oral Cavity and Pharynx,2013,South,Asian or Pacific Islander,0.172,1.265,7.35
Oral Cavity and Pharynx,2013,South,Black or African American,0.316,2.951,9.335
Oral Cavity and Pharynx,2013,South,White,0.206,2.711,13.164
Oral Cavity and Pharynx,2013,West,American Indian or Alaska Native,0.193,1.369,7.104
Oral Cavity and Pharynx,2013,West,Asian or Pacific Islander,0.255,2.025,7.95
Oral Cavity and Pharynx,2013,West,Black or African American,0.36,2.66,7.383
Oral Cavity and Pharynx,2013,West,White,0.21,2.319,11.044
Oral Cavity and Pharynx,2014,Northeast,Asian or Pacific Islander,0.221,2.137,9.65
Oral Cavity and Pharynx,2014,Northeast,Black or African American,0.245,2.044,8.335
Oral Cavity and Pharynx,2014,Northeast,White,0.18,2.108,11.711
Oral Cavity and Pharynx,2014,Midwest,Asian or Pacific Islander,0.177,1.394,7.883
Oral Cavity and Pharynx,2014,Midwest,Black or African American,0.316,3.241,10.252
Oral Cavity and Pharynx,2014,Midwest,White,0.203,2.481,12.231
Oral Cavity and Pharynx,2014,South,American Indian or Alaska Native,0.222,1.92,8.665
Oral Cavity and Pharynx,2014,South,Asian or Pacific Islander,0.217,1.626,7.508
Oral Cavity and Pharynx,2014,South,Black or African American,0.334,3.006,8.994
Oral Cavity and Pharynx,2014,South,White,0.203,2.721,13.381
Oral Cavity and Pharynx,2014,West,American Indian or Alaska Native,0.189,1.326,7.028
Oral Cavity and Pharynx,2014,West,Asian or Pacific Islander,0.273,2.055,7.532
Oral Cavity and Pharynx,2014,West,Black or African American,0.289,2.228,7.695
Oral Cavity and Pharynx,2014,West,White,0.229,2.518,10.978
Oral Cavity and Pharynx,2015,Northeast,Asian or Pacific Islander,0.242,2.412,9.965
Oral Cavity and Pharynx,2015,Northeast,Black or African American,0.242,1.974,8.168
Oral Cavity and Pharynx,2015,Northeast,White,0.19,2.256,11.878
Oral Cavity and Pharynx,2015,Midwest,Asian or Pacific Islander,0.331,2.568,7.751
Oral Cavity and Pharynx,2015,Midwest,Black or African American,0.274,2.683,9.807
Oral Cavity and Pharynx,2015,Midwest,White,0.208,2.591,12.474
Oral Cavity and Pharynx,2015,South,American Indian or Alaska Native,0.24,1.781,7.434
Oral Cavity and Pharynx,2015,South,Asian or Pacific Islander,0.211,1.428,6.78
Oral Cavity and Pharynx,2015,South,Black or African American,0.315,2.776,8.823
Oral Cavity and Pharynx,2015,South,White,0.204,2.696,13.23
Oral Cavity and Pharynx,2015,West,American Indian or Alaska Native,0.198,1.323,6.698
Oral Cavity and Pharynx,2015,West,Asian or Pacific Islander,0.311,2.395,7.696
Oral Cavity and Pharynx,2015,West,Black or African American,0.316,2.286,7.227
Oral Cavity and Pharynx,2015,West,White,0.221,2.458,11.141
Oral Cavity and Pharynx,2016,Northeast,Asian or Pacific Islander,0.236,2.093,8.852
Oral Cavity and Pharynx,2016,Northeast,Black or African American,0.235,2.001,8.519
Oral Cavity and Pharynx,2016,Northeast,White,0.189,2.26,11.924
Oral Cavity and Pharynx,2016,Midwest,American Indian or Alaska Native,0.228,2.922,12.832
Oral Cavity and Pharynx,2016,Midwest,Asian or Pacific Islander,0.301,2.497,8.301
Oral Cavity and Pharynx,2016,Midwest,Black or African American,0.297,2.744,9.243
Oral Cavity and Pharynx,2016,Midwest,White,0.221,2.701,12.235
Oral Cavity and Pharynx,2016,South,American Indian or Alaska Native,0.256,1.816,7.097
Oral Cavity and Pharynx,2016,South,Asian or Pacific Islander,0.32,2.171,6.794
Oral Cavity and Pharynx,2016,South,Black or African American,0.327,2.907,8.878
Oral Cavity and Pharynx,2016,South,White,0.211,2.763,13.085
Oral Cavity and Pharynx,2016,West,American Indian or Alaska Native,0.25,1.531,6.111
Oral Cavity and Pharynx,2016,West,Asian or Pacific Islander,0.261,2.028,7.759
Oral Cavity and Pharynx,2016,West,Black or African American,0.287,2.003,6.974
Oral Cavity and Pharynx,2016,West,White,0.238,2.546,10.682
Ovary,1999,Northeast,Asian or Pacific Islander,0.514,4.858,9.452
Ovary,1999,Northeast,Black or African American,0.665,6.898,10.373
Ovary,1999,Northeast,White,0.614,9.553,15.557
Ovary,1999,Midwest,Asian or Pacific Islander,0.623,5.243,8.418
Ovary,1999,Midwest,Black or African American,0.725,7.598,10.477
Ovary,1999,Midwest,White,0.592,8.999,15.207
Ovary,1999,South,Asian or Pacific Islander,0.755,5.227,6.92
Ovary,1999,South,Black or African American,0.747,7.247,9.703
Ovary,1999,South,White,0.612,8.658,14.139
Ovary,1999,West,Asian or Pacific Islander,0.461,4.882,10.592
Ovary,1999,West,Black or African American,0.767,7.724,10.071
Ovary,1999,West,White,0.639,9.365,14.659
Ovary,2000,Northeast,Asian or Pacific Islander,0.344,3.301,9.595
Ovary,2000,Northeast,Black or African American,0.72,7.148,9.924
Ovary,2000,Northeast,White,0.597,9.548,16.003
Ovary,2000,Midwest,Asian or Pacific Islander,0.343,3.703,10.792
Ovary,2000,Midwest,Black or African American,0.684,6.55,9.573
Ovary,2000,Midwest,White,0.624,9.349,14.985
Ovary,2000,South,Asian or Pacific Islander,0.519,4.154,8.007
Ovary,2000,South,Black or African American,0.72,7.438,10.337
Ovary,2000,South,White,0.608,8.792,14.452
Ovary,2000,West,Asian or Pacific Islander,0.531,5.498,10.363
Ovary,2000,West,Black or African American,0.704,6.658,9.46
Ovary,2000,West,White,0.648,9.612,14.832
Ovary,2001,Northeast,Asian or Pacific Islander,0.317,4.11,12.958
Ovary,2001,Northeast,Black or African American,0.734,7.337,9.994
Ovary,2001,Northeast,White,0.61,9.903,16.243
Ovary,2001,Midwest,Asian or Pacific Islander,0.418,5.34,12.777
Ovary,2001,Midwest,Black or African American,0.742,7.235,9.754
Ovary,2001,Midwest,White,0.649,9.301,14.342
Ovary,2001,South,Asian or Pacific Islander,0.565,4.813,8.519
Ovary,2001,South,Black or African American,0.766,7.847,10.251
Ovary,2001,South,White,0.628,8.783,13.986
Ovary,2001,West,American Indian or Alaska Native,0.704,10.63,15.09
Ovary,2001,West,Asian or Pacific Islander,0.546,5.194,9.521
Ovary,2001,West,Black or African American,0.716,6.3,8.795
Ovary,2001,West,White,0.661,9.7,14.684
Ovary,2002,Northeast,Asian or Pacific Islander,0.674,6.105,9.06
Ovary,2002,Northeast,Black or African American,0.67,7.038,10.503
Ovary,2002,Northeast,White,0.639,9.668,15.118
Ovary,2002,Midwest,Asian or Pacific Islander,0.369,3.673,9.959
Ovary,2002,Midwest,Black or African American,0.667,6.757,10.129
Ovary,2002,Midwest,White,0.69,9.555,13.845
Ovary,2002,South,Asian or Pacific Islander,0.536,3.934,7.338
Ovary,2002,South,Black or African American,0.688,7.73,11.23
Ovary,2002,South,White,0.649,8.992,13.86
Ovary,2002,West,American Indian or Alaska Native,0.704,4.988,7.089
Ovary,2002,West,Asian or Pacific Islander,0.48,5.295,11.023
Ovary,2002,West,Black or African American,0.869,7.201,8.282
Ovary,2002,West,White,0.662,9.671,14.612
Ovary,2003,Northeast,Asian or Pacific Islander,0.346,3.633,10.512
Ovary,2003,Northeast,Black or African American,0.702,6.889,9.817
Ovary,2003,Northeast,White,0.644,9.64,14.976
Ovary,2003,Midwest,Asian or Pacific Islander,0.453,4.226,9.331
Ovary,2003,Midwest,Black or African American,0.723,7.673,10.618
Ovary,2003,Midwest,White,0.664,9.239,13.909
Ovary,2003,South,American Indian or Alaska Native,0.54,6.47,11.978
Ovary,2003,South,Asian or Pacific Islander,0.675,5.109,7.569
Ovary,2003,South,Black or African American,0.689,7.572,10.985
Ovary,2003,South,White,0.64,8.675,13.546
Ovary,2003,West,American Indian or Alaska Native,0.804,7.156,8.898
Ovary,2003,West,Asian or Pacific Islander,0.523,5.457,10.43
Ovary,2003,West,Black or African American,0.701,7.72,11.014
Ovary,2003,West,White,0.679,9.607,14.142
Ovary,2004,Northeast,Asian or Pacific Islander,0.421,4.014,9.532
Ovary,2004,Northeast,Black or African American,0.68,6.896,10.144
Ovary,2004,Northeast,White,0.632,9.134,14.455
Ovary,2004,Midwest,Asian or Pacific Islander,0.621,4.09,6.589
Ovary,2004,Midwest,Black or African American,0.784,7.797,9.941
Ovary,2004,Midwest,White,0.687,9.074,13.199
Ovary,2004,South,American Indian or Alaska Native,0.653,5.351,8.192
Ovary,2004,South,Asian or Pacific Islander,0.466,3.238,6.943
Ovary,2004,South,Black or African American,0.818,7.893,9.652
Ovary,2004,South,White,0.64,8.613,13.454
Ovary,2004,West,American Indian or Alaska Native,0.688,5.427,7.889
Ovary,2004,West,Asian or Pacific Islander,0.543,5.278,9.723
Ovary,2004,West,Black or African American,0.728,7.677,10.54
Ovary,2004,West,White,0.722,9.943,13.773
Ovary,2005,Northeast,Asian or Pacific Islander,0.497,3.942,7.928
Ovary,2005,Northeast,Black or African American,0.649,6.273,9.666
Ovary,2005,Northeast,White,0.631,9.303,14.751
Ovary,2005,Midwest,Asian or Pacific Islander,0.58,5.952,10.258
Ovary,2005,Midwest,Black or African American,0.681,6.834,10.043
Ovary,2005,Midwest,White,0.674,9.016,13.38
Ovary,2005,South,Asian or Pacific Islander,0.643,5.288,8.223
Ovary,2005,South,Black or African American,0.779,7.707,9.898
Ovary,2005,South,White,0.658,8.647,13.144
Ovary,2005,West,American Indian or Alaska Native,0.706,5.765,8.164
Ovary,2005,West,Asian or Pacific Islander,0.512,5.239,10.235
Ovary,2005,West,Black or African American,0.81,8.068,9.961
Ovary,2005,West,White,0.684,9.338,13.66
Ovary,2006,Northeast,Asian or Pacific Islander,0.541,4.822,8.916
Ovary,2006,Northeast,Black or African American,0.719,7.055,9.809
Ovary,2006,Northeast,White,0.673,9.459,14.056
Ovary,2006,Midwest,Asian or Pacific Islander,0.503,4.775,9.485
Ovary,2006,Midwest,Black or African American,0.703,6.508,9.255
Ovary,2006,Midwest,White,0.677,9.016,13.316
Ovary,2006,South,Asian or Pacific Islander,0.496,4.364,8.794
Ovary,2006,South,Black or African American,0.713,6.879,9.653
Ovary,2006,South,White,0.659,8.653,13.13
Ovary,2006,West,American Indian or Alaska Native,0.613,6.908,11.269
Ovary,2006,West,Asian or Pacific Islander,0.524,5.237,9.994
Ovary,2006,West,Black or African American,0.806,6.956,8.63
Ovary,2006,West,White,0.648,8.888,13.709
Ovary,2007,Northeast,Asian or Pacific Islander,0.403,3.887,9.641
Ovary,2007,Northeast,Black or African American,0.633,5.827,9.207
Ovary,2007,Northeast,White,0.649,8.995,13.866
Ovary,2007,Midwest,Asian or Pacific Islander,0.51,4.306,8.446
Ovary,2007,Midwest,Black or African American,0.678,7.078,10.44
Ovary,2007,Midwest,White,0.643,8.548,13.303
Ovary,2007,South,American Indian or Alaska Native,0.518,5.468,10.547
Ovary,2007,South,Asian or Pacific Islander,0.433,4.189,9.673
Ovary,2007,South,Black or African American,0.703,6.745,9.601
Ovary,2007,South,White,0.648,8.305,12.811
Ovary,2007,West,American Indian or Alaska Native,0.66,6.641,10.06
Ovary,2007,West,Asian or Pacific Islander,0.523,5.04,9.645
Ovary,2007,West,Black or African American,0.601,6.017,10.004
Ovary,2007,West,White,0.682,8.998,13.186
Ovary,2008,Northeast,Asian or Pacific Islander,0.439,3.789,8.633
Ovary,2008,Northeast,Black or African American,0.618,6.332,10.251
Ovary,2008,Northeast,White,0.631,8.594,13.626
Ovary,2008,Midwest,Asian or Pacific Islander,0.824,6.444,7.815
Ovary,2008,Midwest,Black or African American,0.71,6.277,8.839
Ovary,2008,Midwest,White,0.644,8.286,12.863
Ovary,2008,South,American Indian or Alaska Native,0.544,5.849,10.75
Ovary,2008,South,Asian or Pacific Islander,0.596,5.027,8.429
Ovary,2008,South,Black or African American,0.685,6.808,9.936
Ovary,2008,South,White,0.62,7.985,12.872
Ovary,2008,West,American Indian or Alaska Native,0.626,6.443,10.287
Ovary,2008,West,Asian or Pacific Islander,0.527,5.471,10.378
Ovary,2008,West,Black or African American,0.695,6.946,9.988
Ovary,2008,West,White,0.628,8.512,13.562
Ovary,2009,Northeast,Asian or Pacific Islander,0.451,4.617,10.248
Ovary,2009,Northeast,Black or African American,0.571,5.407,9.478
Ovary,2009,Northeast,White,0.62,8.423,13.586
Ovary,2009,Midwest,American Indian or Alaska Native,0.909,8.973,9.872
Ovary,2009,Midwest,Asian or Pacific Islander,0.453,3.387,7.476
Ovary,2009,Midwest,Black or African American,0.641,7.032,10.978
Ovary,2009,Midwest,White,0.655,8.244,12.591
Ovary,2009,South,American Indian or Alaska Native,0.733,6.629,9.038
Ovary,2009,South,Asian or Pacific Islander,0.514,4.41,8.573
Ovary,2009,South,Black or African American,0.749,6.954,9.287
Ovary,2009,South,White,0.625,7.785,12.456
Ovary,2009,West,American Indian or Alaska Native,0.733,6.7,9.138
Ovary,2009,West,Asian or Pacific Islander,0.531,4.735,8.915
Ovary,2009,West,Black or African American,0.73,7.993,10.952
Ovary,2009,West,White,0.653,8.414,12.879
Ovary,2010,Northeast,Asian or Pacific Islander,0.526,5.055,9.608
Ovary,2010,Northeast,Black or African American,0.716,6.809,9.515
Ovary,2010,Northeast,White,0.613,8.153,13.305
Ovary,2010,Midwest,Asian or Pacific Islander,0.342,3.592,10.489
Ovary,2010,Midwest,Black or African American,0.72,6.569,9.129
Ovary,2010,Midwest,White,0.676,8.202,12.141
Ovary,2010,South,American Indian or Alaska Native,0.787,5.215,6.629
Ovary,2010,South,Asian or Pacific Islander,0.484,3.69,7.626
Ovary,2010,South,Black or African American,0.684,6.484,9.482
Ovary,2010,South,White,0.671,7.92,11.807
Ovary,2010,West,American Indian or Alaska Native,0.461,5.058,10.981
Ovary,2010,West,Asian or Pacific Islander,0.544,5.136,9.434
Ovary,2010,West,Black or African American,0.882,7.38,8.363
Ovary,2010,West,White,0.663,8.305,12.534
Ovary,2011,Northeast,Asian or Pacific Islander,0.321,3.685,11.482
Ovary,2011,Northeast,Black or African American,0.687,6.752,9.822
Ovary,2011,Northeast,White,0.625,8.178,13.084
Ovary,2011,Midwest,Asian or Pacific Islander,0.567,5.314,9.368
Ovary,2011,Midwest,Black or African American,0.716,5.888,8.218
Ovary,2011,Midwest,White,0.646,7.742,11.989
Ovary,2011,South,American Indian or Alaska Native,0.414,3.782,9.135
Ovary,2011,South,Asian or Pacific Islander,0.42,3.345,7.969
Ovary,2011,South,Black or African American,0.714,6.775,9.488
Ovary,2011,South,White,0.649,7.627,11.756
Ovary,2011,West,American Indian or Alaska Native,0.662,5.828,8.802
Ovary,2011,West,Asian or Pacific Islander,0.555,5.094,9.178
Ovary,2011,West,Black or African American,0.688,6.317,9.18
Ovary,2011,West,White,0.65,7.976,12.272
Ovary,2012,Northeast,Asian or Pacific Islander,0.415,3.886,9.359
Ovary,2012,Northeast,Black or African American,0.694,7.179,10.351
